03-23 21:13:06  Looking for image: matching.png 
03-23 21:13:07  Still in matching 
03-23 21:13:09  Looking for image: matching.png 
03-23 21:13:12  Still in matching 
03-23 21:13:14  Looking for image: matching.png 
03-23 21:13:20  Not found matching.png, maybe match done 
03-23 21:13:22  Looking for image: matching.png 
03-23 21:13:28  Not found matching.png, maybe match done 
03-23 21:13:28  matching done 
03-23 21:13:43  Select card. 
03-23 21:13:48  Wait for succeed 
03-23 21:14:06  Looking for image: bk1.png 
03-23 21:14:07  I win this round 
03-23 21:14:07  Total have win: 2/3 
03-23 21:14:07  Start Match 
03-23 21:14:09  start round match 
03-23 21:14:11  Looking for image: matching.png 
03-23 21:14:12  Still in matching 
03-23 21:14:14  Looking for image: matching.png 
03-23 21:14:15  Still in matching 
03-23 21:14:17  Looking for image: matching.png 
03-23 21:14:18  Still in matching 
03-23 21:14:20  Looking for image: matching.png 
03-23 21:14:22  Still in matching 
03-23 21:14:24  Looking for image: matching.png 
03-23 21:14:29  Not found matching.png, maybe match done 
03-23 21:14:32  Looking for image: matching.png 
03-23 21:14:37  Not found matching.png, maybe match done 
03-23 21:14:37  matching done 
03-23 21:14:52  Select card. 
03-23 21:14:57  Wait for succeed 
03-23 21:15:15  Looking for image: bk1.png 
03-23 21:15:39  Looking for image: bk1.png 
03-23 21:16:02  Looking for image: bk1.png 
03-23 21:16:08  I Give up 
03-23 21:16:31  Looking for image: bk1.png 
03-23 21:16:31  Total have win: 2/4 
03-23 21:16:31  Start Match 
03-23 21:16:34  start round match 
03-23 21:16:36  Looking for image: matching.png 
03-23 21:16:37  Still in matching 
03-23 21:16:39  Looking for image: matching.png 
03-23 21:16:39  Still in matching 
03-23 21:16:42  Looking for image: matching.png 
03-23 21:16:45  Still in matching 
03-23 21:16:47  Looking for image: matching.png 
03-23 21:16:53  Not found matching.png, maybe match done 
03-23 21:16:55  Looking for image: matching.png 
03-23 21:17:01  Not found matching.png, maybe match done 
03-23 21:17:01  matching done 
03-23 21:17:16  Select card. 
03-23 21:17:21  Wait for succeed 
03-23 21:17:39  Looking for image: bk1.png 
03-23 21:17:39  I win this round 
03-23 21:17:39  Total have win: 3/5 
03-23 21:17:39  Start Match 
03-23 21:17:42  start round match 
03-23 21:17:44  Looking for image: matching.png 
03-23 21:17:44  Still in matching 
03-23 21:17:47  Looking for image: matching.png 
